Company Name,Industry,Symbol,Series,ISIN Code
Dr. Reddy's Laboratories Ltd.,Healthcare,DRREDDY,EQ,NA
Hindalco Industries Ltd.,Metals & Mining,HINDALCO,EQ,NA
Cipla Ltd.,Healthcare,CIPLA,EQ,NA
Eicher Motors Ltd.,Automobile and Auto Components,EICHERMOT,EQ,NA
Bajaj Auto Ltd.,Automobile and Auto Components,BAJAJ-AUTO,EQ,NA
Britannia Industries Ltd.,Fast Moving Consumer Goods,BRITANNIA,EQ,NA
Apollo Hospitals Enterprise Ltd.,Healthcare,APOLLOHOSP,EQ,NA
Divi's Laboratories Ltd.,Healthcare,DIVISLAB,EQ,NA
Tech Mahindra Ltd.,Information Technology,TECHM,EQ,NA
SBI Life Insurance Company Ltd.,Financial Services,SBILIFE,EQ,NA
HDFC Life Insurance Company Ltd.,Financial Services,HDFCLIFE,EQ,NA
Shree Cement Ltd.,Construction Materials,SHREECEM,EQ,NA
Indusind Bank Ltd.,Financial Services,INDUSINDBK,EQ,NA
Bharat Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels,BPCL,EQ,NA
Oil & Natural Gas Corporation Ltd.,Oil Gas & Consumable Fuels,ONGC,EQ,NA
Bharat Electronics Ltd.,Capital Goods,BEL,EQ,NA
Vedanta Ltd.,Metals & Mining,VEDL,EQ,NA
LTIMindtree Ltd.,Information Technology,LTIM,EQ,NA
Pidilite Industries Ltd.,Chemicals,PIDILITIND,EQ,NA
Godrej Consumer Products Ltd.,Fast Moving Consumer Goods,GODREJCP,EQ,NA
Havells India Ltd.,Consumer Durables,HAVELLS,EQ,NA
DLF Ltd.,Realty,DLF,EQ,NA
Dabur India Ltd.,Fast Moving Consumer Goods,DABUR,EQ,NA
Ambuja Cements Ltd.,Construction Materials,AMBUJACEM,EQ,NA
Siemens Ltd.,Capital Goods,SIEMENS,EQ,NA
ABB India Ltd.,Capital Goods,ABB,EQ,NA
Adani Green Energy Ltd.,Power,ADANIGREEN,EQ,NA
Adani Total Gas Ltd.,Oil Gas & Consumable Fuels,ATGL,EQ,NA
Zomato Ltd.,Consumer Services,ETERNAL,EQ,NA
InterGlobe Aviation Ltd.,Services,INDIGO,EQ,NA
Jio Financial Services Ltd.,Financial Services,JIOFIN,EQ,NA
Trent Ltd.,Consumer Services,TRENT,EQ,NA
Varun Beverages Ltd.,Fast Moving Consumer Goods,VBL,EQ,NA
Bank of Baroda,Financial Services,BANKBARODA,EQ,NA
Punjab National Bank,Financial Services,PNB,EQ,NA
Canara Bank,Financial Services,CANBK,EQ,NA
IDFC First Bank Ltd.,Financial Services,IDFCFIRSTB,EQ,NA
Federal Bank Ltd.,Financial Services,FEDERALBNK,EQ,NA
AU Small Finance Bank Ltd.,Financial Services,AUBANK,EQ,NA
Bandhan Bank Ltd.,Financial Services,BANDHANBNK,EQ,NA
Yes Bank Ltd.,Financial Services,YESBANK,EQ,NA
Muthoot Finance Ltd.,Financial Services,MUTHOOTFIN,EQ,NA
Cholamandalam Investment and Finance Company Ltd.,Financial Services,CHOLAFIN,EQ,NA
Shriram Finance Ltd.,Financial Services,SHRIRAMFIN,EQ,NA
PB Fintech Ltd.,Financial Services,POLICYBZR,EQ,NA
Motherson Sumi Wiring India Ltd.,Automobile and Auto Components,MSUMI,EQ,NA
Samvardhana Motherson International Ltd.,Automobile and Auto Components,MOTHERSON,EQ,NA
Bosch Ltd.,Automobile and Auto Components,BOSCHLTD,EQ,NA
TVS Motor Company Ltd.,Automobile and Auto Components,TVSMOTOR,EQ,NA
Hero MotoCorp Ltd.,Automobile and Auto Components,HEROMOTOCO,EQ,NA
Ashok Leyland Ltd.,Capital Goods,ASHOKLEY,EQ,NA
Escorts Kubota Ltd.,Capital Goods,ESCORTS,EQ,NA
Apollo Tyres Ltd.,Automobile and Auto Components,APOLLOTYRE,EQ,NA
MRF Ltd.,Automobile and Auto Components,MRF,EQ,NA
Balkrishna Industries Ltd.,Automobile and Auto Components,BALKRISIND,EQ,NA
Lupin Ltd.,Healthcare,LUPIN,EQ,NA
Aurobindo Pharma Ltd.,Healthcare,AUROPHARMA,EQ,NA
Zydus Lifesciences Ltd.,Healthcare,ZYDUSLIFE,EQ,NA
Alkem Laboratories Ltd.,Healthcare,ALKEM,EQ,NA
Torrent Pharmaceuticals Ltd.,Healthcare,TORNTPHARM,EQ,NA
Mankind Pharma Ltd.,Healthcare,MANKIND,EQ,NA
Biocon Ltd.,Healthcare,BIOCON,EQ,NA
Max Healthcare Institute Ltd.,Healthcare,MAXHEALTH,EQ,NA
Fortis Healthcare Ltd.,Healthcare,FORTIS,EQ,NA
Global Health Ltd.,Healthcare,MEDANTA,EQ,NA
Info Edge (India) Ltd.,Consumer Services,NAUKRI,EQ,NA
Persistent Systems Ltd.,Information Technology,PERSISTENT,EQ,NA
Coforge Ltd.,Information Technology,COFORGE,EQ,NA
Mphasis Ltd.,Information Technology,MPHASIS,EQ,NA
Oracle Financial Services Software Ltd.,Information Technology,OFSS,EQ,NA
L&T Technology Services Ltd.,Information Technology,LTTS,EQ,NA
Tata Elxsi Ltd.,Information Technology,TATAELXSI,EQ,NA
KPIT Technologies Ltd.,Information Technology,KPITTECH,EQ,NA
Cummins India Ltd.,Capital Goods,CUMMINSIND,EQ,NA
Thermax Ltd.,Capital Goods,THERMAX,EQ,NA
Havells India Ltd.,Consumer Durables,HAVELLS,EQ,NA
Voltas Ltd.,Consumer Durables,VOLTAS,EQ,NA
Blue Star Ltd.,Consumer Durables,BLUESTARCO,EQ,NA
Dixon Technologies (India) Ltd.,Consumer Durables,DIXON,EQ,NA
Polycab India Ltd.,Capital Goods,POLYCAB,EQ,NA
Crompton Greaves Consumer Electricals Ltd.,Consumer Durables,CROMPTON,EQ,NA
Whirlpool of India Ltd.,Consumer Durables,WHIRLPOOL,EQ,NA
Page Industries Ltd.,Textiles,PAGEIND,EQ,NA
Aditya Birla Fashion and Retail Ltd.,Consumer Services,ABFRL,EQ,NA
Avenue Supermarts Ltd.,Consumer Services,DMART,EQ,NA
United Spirits Ltd.,Fast Moving Consumer Goods,UNITDSPR,EQ,NA
United Breweries Ltd.,Fast Moving Consumer Goods,UBL,EQ,NA
Marico Ltd.,Fast Moving Consumer Goods,MARICO,EQ,NA
Colgate Palmolive (India) Ltd.,Fast Moving Consumer Goods,COLPAL,EQ,NA
Godfrey Phillips India Ltd.,Fast Moving Consumer Goods,GODFRYPHLP,EQ,NA
Tata Consumer Products Ltd.,Fast Moving Consumer Goods,TATACONSUM,EQ,NA
Emami Ltd.,Fast Moving Consumer Goods,EMAMILTD,EQ,NA
Radico Khaitan Ltd.,Fast Moving Consumer Goods,RADICO,EQ,NA
Jubilant Foodworks Ltd.,Consumer Services,JUBLFOOD,EQ,NA
Devyani International Ltd.,Consumer Services,DEVYANI,EQ,NA
Sanofi India Ltd.,Healthcare,SANOFI,EQ,NA
Ipca Laboratories Ltd.,Healthcare,IPCALAB,EQ,NA
Laurus Labs Ltd.,Healthcare,LAURUSLABS,EQ,NA
Gland Pharma Ltd.,Healthcare,GLAND,EQ,NA
Steel Authority of India Ltd.,Metals & Mining,SAIL,EQ,NA
NMDC Ltd.,Metals & Mining,NMDC,EQ,NA
Jindal Steel & Power Ltd.,Metals & Mining,JINDALSTEL,EQ,NA
Hindustan Zinc Ltd.,Metals & Mining,HINDZINC,EQ,NA
National Aluminium Company Ltd.,Metals & Mining,NATIONALUM,EQ,NA
Adani Power Ltd.,Power,ADANIPOWER,EQ,NA
Tata Power Company Ltd.,Power,TATAPOWER,EQ,NA
NHPC Ltd.,Power,NHPC,EQ,NA
SJVN Ltd.,Power,SJVN,EQ,NA
JSW Energy Ltd.,Power,JSWENERGY,EQ,NA
Torrent Power Ltd.,Power,TORNTPOWER,EQ,NA
CESC Ltd.,Power,CESC,EQ,NA
GAIL (India) Ltd.,Oil Gas & Consumable Fuels,GAIL,EQ,NA
Indian Oil Corporation Ltd.,Oil Gas & Consumable Fuels,IOC,EQ,NA
Hindustan Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels,HINDPETRO,EQ,NA
Petronet LNG Ltd.,Oil Gas & Consumable Fuels,PETRONET,EQ,NA
Oil India Ltd.,Oil Gas & Consumable Fuels,OIL,EQ,NA
Container Corporation of India Ltd.,Services,CONCOR,EQ,NA
Adani Wilmar Ltd.,Fast Moving Consumer Goods,AWL,EQ,NA
GMR Airports Ltd.,Services,GMRAIRPORT,EQ,NA
IRCTC Ltd.,Consumer Services,IRCTC,EQ,NA
Indian Railway Finance Corporation Ltd.,Financial Services,IRFC,EQ,NA
Rail Vikas Nigam Ltd.,Construction,RVNL,EQ,NA
IRB Infrastructure Developers Ltd.,Construction,IRB,EQ,NA
GMR Power and Urban Infra Ltd.,Power,GMRP&UI,EQ,NA
NBCC (India) Ltd.,Construction,NBCC,EQ,NA
Larsen & Toubro Infotech Ltd.,Information Technology,LTIM,EQ,NA
Bharat Heavy Electricals Ltd.,Capital Goods,BHEL,EQ,NA
Hindustan Aeronautics Ltd.,Capital Goods,HAL,EQ,NA
Mazagon Dock Shipbuilders Ltd.,Capital Goods,MAZDOCK,EQ,NA
Cochin Shipyard Ltd.,Capital Goods,COCHINSHIP,EQ,NA
Bharat Dynamics Ltd.,Capital Goods,BDL,EQ,NA
Solar Industries India Ltd.,Chemicals,SOLARINDS,EQ,NA
Astral Ltd.,Capital Goods,ASTRAL,EQ,NA
Supreme Industries Ltd.,Capital Goods,SUPREMEIND,EQ,NA
Finolex Cables Ltd.,Capital Goods,FINCABLES,EQ,NA
KEI Industries Ltd.,Capital Goods,KEI,EQ,NA
Siemens Energy India Ltd.,Capital Goods,SIEMENSLTD,EQ,NA
Kalyan Jewellers India Ltd.,Consumer Durables,KALYANKJIL,EQ,NA
Titan Company Ltd.,Consumer Durables,TITAN,EQ,NA
PNB Housing Finance Ltd.,Financial Services,PNBHOUSING,EQ,NA
LIC Housing Finance Ltd.,Financial Services,LICHSGFIN,EQ,NA
Bajaj Housing Finance Ltd.,Financial Services,BAJAJHFL,EQ,NA
Life Insurance Corporation of India,Financial Services,LICI,EQ,NA
ICICI Prudential Life Insurance Company Ltd.,Financial Services,ICICIPRULI,EQ,NA
ICICI Lombard General Insurance Company Ltd.,Financial Services,ICICIGI,EQ,NA
General Insurance Corporation of India,Financial Services,GICRE,EQ,NA
New India Assurance Company Ltd.,Financial Services,NIACL,EQ,NA
Central Depository Services (India) Ltd.,Financial Services,CDSL,EQ,NA
Multi Commodity Exchange of India Ltd.,Financial Services,MCX,EQ,NA
BSE Ltd.,Financial Services,BSE,EQ,NA
360 ONE WAM Ltd.,Financial Services,360ONE,EQ,NA
Angel One Ltd.,Financial Services,ANGELONE,EQ,NA
Motilal Oswal Financial Services Ltd.,Financial Services,MOTILALOFS,EQ,NA
Poonawalla Fincorp Ltd.,Financial Services,POONAWALLA,EQ,NA
Sundaram Finance Ltd.,Financial Services,SUNDARMFIN,EQ,NA
Mahindra & Mahindra Financial Services Ltd.,Financial Services,M&MFIN,EQ,NA
Manappuram Finance Ltd.,Financial Services,MANAPPURAM,EQ,NA
IDBI Bank Ltd.,Financial Services,IDBI,EQ,NA
Union Bank of India,Financial Services,UNIONBANK,EQ,NA
Indian Bank,Financial Services,INDIANB,EQ,NA
UCO Bank,Financial Services,UCOBANK,EQ,NA
Bank of India,Financial Services,BANKINDIA,EQ,NA
Central Bank of India,Financial Services,CENTRALBK,EQ,NA
Indian Overseas Bank,Financial Services,IOB,EQ,NA
Karur Vysya Bank Ltd.,Financial Services,KARURVYSYA,EQ,NA
City Union Bank Ltd.,Financial Services,CUB,EQ,NA
RBL Bank Ltd.,Financial Services,RBLBANK,EQ,NA
Suzlon Energy Ltd.,Capital Goods,SUZLON,EQ,NA
Reliance Power Ltd.,Power,RPOWER,EQ,NA
Reliance Infrastructure Ltd.,Power,RELINFRA,EQ,NA
Union Bank of India,Financial Services,UNIONBANK,EQ,NA
Zydus Wellness Ltd.,Fast Moving Consumer Goods,ZYDUSWELL,EQ,NA
Godrej Properties Ltd.,Realty,GODREJPROP,EQ,NA
Oberoi Realty Ltd.,Realty,OBEROIRLTY,EQ,NA
Phoenix Mills Ltd.,Realty,PHOENIXLTD,EQ,NA
Prestige Estates Projects Ltd.,Realty,PRESTIGE,EQ,NA
Macrotech Developers Ltd.,Realty,LODHA,EQ,NA
Brigade Enterprises Ltd.,Realty,BRIGADE,EQ,NA
Signature Global (India) Ltd.,Realty,SIGNATURE,EQ,NA
Sobha Ltd.,Realty,SOBHA,EQ,NA
UPL Ltd.,Chemicals,UPL,EQ,NA
PI Industries Ltd.,Chemicals,PIIND,EQ,NA
Deepak Nitrite Ltd.,Chemicals,DEEPAKNTR,EQ,NA
SRF Ltd.,Chemicals,SRF,EQ,NA
Aarti Industries Ltd.,Chemicals,AARTIIND,EQ,NA
Tata Chemicals Ltd.,Chemicals,TATACHEM,EQ,NA
Gujarat Narmada Valley Fertilizers & Chemicals Ltd.,Chemicals,GNFC,EQ,NA
Chambal Fertilisers and Chemicals Ltd.,Chemicals,CHAMBLFERT,EQ,NA
Coromandel International Ltd.,Chemicals,COROMANDEL,EQ,NA
Linde India Ltd.,Chemicals,LINDEINDIA,EQ,NA
Navin Fluorine International Ltd.,Chemicals,NAVINFLUOR,EQ,NA
Berger Paints India Ltd.,Consumer Durables,BERGEPAINT,EQ,NA
Kansai Nerolac Paints Ltd.,Consumer Durables,KANSAINER,EQ,NA
Grindwell Norton Ltd.,Capital Goods,GRINDWELL,EQ,NA
Schaeffler India Ltd.,Automobile and Auto Components,SCHAEFFLER,EQ,NA
SKF India Ltd.,Capital Goods,SKFINDIA,EQ,NA
Timken India Ltd.,Capital Goods,TIMKEN,EQ,NA
Honeywell Automation India Ltd.,Capital Goods,HONAUT,EQ,NA
3M India Ltd.,Diversified,3MINDIA,EQ,NA
Praj Industries Ltd.,Capital Goods,PRAJIND,EQ,NA
Sona BLW Precision Forgings Ltd.,Automobile and Auto Components,SONACOMS,EQ,NA
Endurance Technologies Ltd.,Automobile and Auto Components,ENDURANCE,EQ,NA
Exide Industries Ltd.,Automobile and Auto Components,EXIDEIND,EQ,NA
Amara Raja Energy & Mobility Ltd.,Automobile and Auto Components,ARE&M,EQ,NA
CG Power and Industrial Solutions Ltd.,Capital Goods,CGPOWER,EQ,NA
Aditya Birla Capital Ltd.,Financial Services,ABCAPITAL,EQ,NA
Vodafone Idea Ltd.,Telecommunication,IDEA,EQ,NA
Indus Towers Ltd.,Telecommunication,INDUSTOWER,EQ,NA
Tata Communications Ltd.,Telecommunication,TATACOMM,EQ,NA
